"koutb","koutn","k1b","k1n","k12b","k21b","k13b","k31b","k12n","k21n","A1","B1","n","A2","B2","n2"
0.001716183,0.005125874,0.000199869,0.00196571652928008,0.002085205,0.001309281,0.001385395,0.000143511,0.006702032,0.000734135,9.951e-05,0.0001923,0.5,0.0002968,0.04651,0.7883
0.002126705,0.004507356,0.000145407,0.00173043593664716,0.002092713,0.000960977,0.001879096,0.000154352,0.005730227,0.000671744,3.959e-05,0.0001924,0.6577,0.0001924,0.04714,0.8641
0.002180624,0.004245505,9.36e-05,0.00169712348578949,0.002101256,0.001050107,0.001493312,0.000124855,0.006168298,0.000915155,9.822e-05,0.0001921,0.5,0.0001782,0.0469,0.857
0.002135544,0.004704017,0.000131691,0.00174954985544005,0.002113802,0.001331318,0.001758953,0.000142737,0.005119961,0.000566526,8.436e-05,0.0001944,0.5318,0.0002571,0.06966,0.8488
0.002174746,0.004663457,0.000145036,0.00170598426711137,0.001785723,0.000730253,0.001803318,0.000152469,0.006376261,0.000831944,5.717e-05,0.000193,0.5941,0.00027,0.07915,0.8662
0.002003792,0.004611041,0.000107187,0.00180332501350086,0.002378227,0.001051206,0.001589308,0.000146522,0.006071072,0.000785438,5.201e-05,0.0001929,0.6094,0.0001038,0.0287,0.893
0.002012741,0.004571631,0.000161722,0.00176830203488709,0.001801613,0.000747384,0.00204003,0.000165463,0.007555584,0.00089155,6.395e-05,0.000195,0.5757,9.918e-05,0.0317,0.9148
0.002209311,0.004948168,0.000134276,0.00170742431404283,0.002483701,0.001255553,0.00145971,0.000124877,0.00654532,0.000752622,7.069e-05,0.0001924,0.5606,0.0001671,0.04695,0.8855
0.00196283,0.004124911,0.000115384,0.00178861513083362,0.001976435,0.00121147,0.001281913,0.000113978,0.005909409,0.000758478,2.551e-05,0.0001931,0.7433,0.0003411,0.04371,0.7514
0.002519731,0.004541534,0.000158449,0.00154792080802846,0.002699357,0.002026791,0.001997518,0.000142252,0.005656275,0.000709846,8.402e-05,0.0001932,0.5335,7.779e-05,0.03394,0.9448
0.002488804,0.003908595,0.000198084,0.00157122055906156,0.003291232,0.001607771,0.002176129,0.00014915,0.006528327,0.000879264,2.871e-05,0.0001933,0.7145,0.0001201,0.04031,0.9056
0.00209003,0.005006618,0.00011845,0.00174837766130965,0.002332629,0.000977271,0.00150422,0.000112842,0.008092014,0.00079866,6.176e-05,0.0001937,0.5913,0.0001384,0.03295,0.8639
0.002230194,0.00441832,0.000104932,0.0016700378043958,0.002636476,0.001084238,0.001784305,0.000134768,0.006019951,0.000636387,6.996e-05,0.0001941,0.5661,0.0001537,0.03564,0.8597
0.001953509,0.006207047,0.000124796,0.0018475668803283,0.001993506,0.001081734,0.001150293,0.000112859,0.005605642,0.000513627,5.07e-05,0.0001933,0.6137,0.0001012,0.05081,0.9519
0.00186291,0.004659792,0.000135658,0.00188401778035091,0.001598805,0.000816821,0.001360314,0.000135259,0.008245285,0.000885199,6.981e-05,0.0001938,0.5586,0.0002849,0.06404,0.8256
0.002019462,0.004728604,0.000149468,0.00178282465065525,0.002482629,0.001011301,0.001977308,0.000164419,0.005624434,0.00065144,2.843e-05,0.000193,0.7166,0.0001519,0.06174,0.9283
0.002129189,0.004626455,0.000112267,0.00171285079170157,0.002269521,0.00102272,0.001758505,0.000141617,0.007626603,0.00086628,4.801e-05,0.0001954,0.6243,0.0001304,0.0415,0.9064
0.00172033,0.004624709,0.000165421,0.00200184519221947,0.001518369,0.0007064,0.001394483,0.000142246,0.005374607,0.000654009,3.819e-05,0.0001925,0.675,0.0002023,0.02531,0.7874
0.002147725,0.003838805,0.000170367,0.00168730513808168,0.001950892,0.000877544,0.001891821,0.000141098,0.004710135,0.000681859,7.247e-05,0.0001922,0.5548,9.594e-05,0.02747,0.9018
0.001988173,0.004048136,0.000126428,0.00187931604651266,0.001799504,0.001142475,0.001845508,0.000175138,0.004076719,0.000557869,5.531e-05,0.0001954,0.6033,0.0002437,0.04895,0.8158
0.002143212,0.005134233,0.000121681,0.00170432230639701,0.001832693,0.001033166,0.001682504,0.000137328,0.007513021,0.000775756,9.817e-05,0.0001928,0.5,0.0001119,0.03462,0.8957
0.002222246,0.004231516,9.52e-05,0.00170272112076715,0.002258746,0.00096425,0.001662458,0.000136632,0.006666986,0.000923122,7.072e-05,0.0001927,0.5611,0.0001299,0.02746,0.8494
0.001990998,0.005108797,0.000189672,0.0018088763031464,0.001751923,0.000863244,0.001789617,0.000154817,0.006568484,0.000722657,9.912e-05,0.0001918,0.5,0.0002075,0.04136,0.8231
0.002151919,0.00561189,0.000146589,0.00173761791571363,0.00207946,0.001633132,0.00182385,0.000159066,0.007360562,0.000695364,7.768e-05,0.0001955,0.5458,0.0001861,0.03916,0.8524
0.001765498,0.004621359,0.000145585,0.00191698590724319,0.001863107,0.001004687,0.001385048,0.000127631,0.005900312,0.000697074,3.702e-05,0.0001933,0.6671,0.0002198,0.04157,0.8093
0.001869744,0.004058974,0.000151117,0.00185942280039862,0.001385169,0.000708534,0.00146684,0.000144732,0.006999269,0.000821559,7.013e-05,0.000194,0.5647,0.000267,0.05818,0.8308
0.002125225,0.004153741,0.000161555,0.00170443501316293,0.001929759,0.000874089,0.00187369,0.000137642,0.005992936,0.000836614,6.706e-05,0.0001953,0.5698,0.0001327,0.03385,0.8867
0.002041052,0.004671182,0.000131962,0.00177928929961064,0.001907245,0.000726573,0.001434352,0.000121839,0.00616049,0.000807827,5.096e-05,0.0001938,0.6188,0.0002098,0.03348,0.8106
0.001769837,0.005139888,0.00014978,0.00190091179612087,0.001546745,0.000993004,0.001660917,0.000168606,0.007508521,0.000826548,5.53e-05,0.0001942,0.6067,0.0002065,0.05133,0.854
0.001959372,0.006291704,0.000163403,0.00182717459342418,0.002269254,0.001331216,0.001678351,0.000159859,0.00898674,0.00080235,4.151e-05,0.0001954,0.6531,6.7e-05,0.04054,0.9806
0.001948985,0.005149028,0.000136287,0.00182189655376643,0.002139027,0.000872421,0.001461871,0.000134602,0.006075762,0.000739736,6.871e-05,0.000194,0.5631,0.0002124,0.0528,0.8476
0.002096331,0.004180859,0.000155448,0.00179796018148018,0.002377581,0.001320796,0.001313317,0.000110913,0.005983305,0.000793006,4.393e-05,0.0001939,0.6414,0.0002885,0.03958,0.7748
0.002378318,0.004625182,0.000130515,0.00160791004778709,0.002691403,0.001100461,0.002117776,0.000152043,0.005428576,0.000648577,4.472e-05,0.0001931,0.6382,0.0001757,0.03386,0.8349
0.002106665,0.003974916,5.33e-05,0.00173308043404366,0.002118559,0.000669449,0.001748545,0.000146262,0.004593414,0.000643781,7.048e-05,0.0001941,0.5663,0.0004604,0.063,0.7627
0.001954911,0.005389164,0.00019242,0.00179787162303595,0.002328014,0.001128039,0.001537566,0.00012965,0.00837199,0.00094189,0.0001018,0.0001936,0.5,0.0001963,0.04083,0.8411
