F1,kin,kout,ktr,kout2,k1,k2,k12,k21,A1,B1,n,A2,B2,n2
0.6349,0.0001775,0.000630875,0.004741,89.26,0.000812434,0.001774,0.002315957,0.000379713,0.0000405,0.003645,0.8367,0.0001591,0.02408,0.8197
0.6349,0.0001775,0.000891057,0.004741,89.26,0.000684751,0.001774,0.003191602,0.000397091,0.0000343,0.003512,0.8578,0.0001003,0.02412,0.8986
0.6349,0.0001775,0.000899519,0.004741,89.26,0.000563204,0.001774,0.003010257,0.00036965,0.0000318,0.003361,0.8694,0.00009255,0.02424,0.8926
0.6349,0.0001775,0.000967274,0.004741,89.26,0.000652594,0.001774,0.003305867,0.000449589,0.000034,0.003667,0.8693,0.0001092,0.02712,0.8793
0.6349,0.0001775,0.000915969,0.004741,89.26,0.00068388,0.001774,0.00296001,0.000349019,0.0000322,0.003427,0.8677,0.0001075,0.02863,0.8965
0.6349,0.0001775,0.000841965,0.004741,89.26,0.000595146,0.001774,0.002649115,0.000348924,0.0000323,0.003561,0.8731,0.00009481,0.0263,0.8988
0.6349,0.0001775,0.000763565,0.004741,89.26,0.000722999,0.001774,0.003343686,0.000419673,0.0000323,0.00342,0.8682,0.00006831,0.02251,0.9409
0.6349,0.0001775,0.000994361,0.004741,89.26,0.000658656,0.001774,0.002890858,0.000359689,0.0000349,0.003296,0.8495,0.00008354,0.02347,0.9246
0.6349,0.0001775,0.000716569,0.004741,89.26,0.000614363,0.001774,0.002826083,0.000396912,0.0000461,0.003905,0.8178,0.0001948,0.02382,0.7781
0.6349,0.0001775,0.001058251,0.004741,89.26,0.000715326,0.001774,0.003757807,0.000416274,0.0000319,0.003373,0.8695,0.00005637,0.02526,0.9662
0.6349,0.0001775,0.001094142,0.004741,89.26,0.000808248,0.001774,0.004121571,0.00043655,0.0000328,0.003331,0.8609,0.00007578,0.02575,0.9329
0.6349,0.0001775,0.00086783,0.004741,89.26,0.000621551,0.001774,0.003824171,0.000472587,0.0000351,0.003529,0.8587,0.000102,0.02449,0.8833
0.6349,0.0001775,0.000913729,0.004741,89.26,0.000589859,0.001774,0.003624905,0.000412795,0.0000319,0.003453,0.873,0.0000993,0.02328,0.8872
0.6349,0.0001775,0.000850966,0.004741,89.26,0.000636429,0.001774,0.002396944,0.000345405,0.0000358,0.003556,0.8585,0.00005099,0.02661,0.9914
0.6349,0.0001775,0.000751797,0.004741,89.26,0.000661894,0.001774,0.002390914,0.000349903,0.0000346,0.003438,0.8565,0.0001198,0.02514,0.8616
0.6349,0.0001775,0.000818771,0.004741,89.26,0.00069427,0.001774,0.003214253,0.000406608,0.0000347,0.003411,0.8517,0.00005367,0.02249,0.9872
0.6349,0.0001775,0.000840996,0.004741,89.26,0.000607055,0.001774,0.003282649,0.000399572,0.0000404,0.003668,0.8352,0.00007944,0.02531,0.9346
0.6349,0.0001775,0.000709853,0.004741,89.26,0.000731671,0.001774,0.002439494,0.000380028,0.0000413,0.003876,0.8369,0.0001841,0.02302,0.7935
0.6349,0.0001775,0.000796031,0.004741,89.26,0.000743268,0.001774,0.003749478,0.000444593,0.0000353,0.003537,0.8564,0.00008134,0.02358,0.9134
0.6349,0.0001775,0.000997088,0.004741,89.26,0.000640256,0.001774,0.002623867,0.000402414,0.0000366,0.003321,0.8452,0.0001333,0.02604,0.8451
0.6349,0.0001775,0.00084324,0.004741,89.26,0.000629125,0.001774,0.003178367,0.000403678,0.0000345,0.003346,0.8553,0.0000844,0.0264,0.9132
0.6349,0.0001775,0.001006821,0.004741,89.26,0.000566975,0.001774,0.003130827,0.000372141,0.0000354,0.003436,0.8525,0.0001147,0.02434,0.8575
0.6349,0.0001775,0.000830105,0.004741,89.26,0.000788527,0.001774,0.003022046,0.000411378,0.0000375,0.003396,0.8414,0.0001269,0.02493,0.8494
0.6349,0.0001775,0.000966332,0.004741,89.26,0.000687521,0.001774,0.002838844,0.000396869,0.0000317,0.003345,0.8654,0.0001163,0.02456,0.8807
0.6349,0.0001775,0.000627724,0.004741,89.26,0.000685167,0.001774,0.002838649,0.00043228,0.0000401,0.003557,0.8335,0.0001408,0.02603,0.8314
0.6349,0.0001775,0.000707594,0.004741,89.26,0.000698138,0.001774,0.002388617,0.000342701,0.0000392,0.003536,0.84,0.000105,0.02196,0.877
0.6349,0.0001775,0.000805204,0.004741,89.26,0.000722608,0.001774,0.003890609,0.000470219,0.0000342,0.003399,0.8557,0.00009406,0.02443,0.9096
0.6349,0.0001775,0.000854062,0.004741,89.26,0.00065323,0.001774,0.003077921,0.000380746,0.0000317,0.00355,0.8783,0.0001515,0.02406,0.83
0.6349,0.0001775,0.000600621,0.004741,89.26,0.000695003,0.001774,0.002315287,0.000362397,0.000037,0.003384,0.8403,0.00008849,0.02185,0.9006
0.6349,0.0001775,0.000812074,0.004741,89.26,0.000726941,0.001774,0.002515772,0.000362559,0.000039,0.003749,0.8432,0.00003742,0.02417,1.019
0.6349,0.0001775,0.000777006,0.004741,89.26,0.000663369,0.001774,0.002689814,0.000351971,0.0000377,0.003298,0.8342,0.0001164,0.02761,0.8733
0.6349,0.0001775,0.001020305,0.004741,89.26,0.000708292,0.001774,0.003146424,0.000436358,0.0000311,0.003535,0.8824,0.0001907,0.02553,0.7961
0.6349,0.0001775,0.001003073,0.004741,89.26,0.000649837,0.001774,0.003852142,0.00040935,0.0000388,0.003627,0.8413,0.0001413,0.02712,0.8474
0.6349,0.0001775,0.000856739,0.004741,89.26,0.000468853,0.001774,0.003083095,0.000345535,0.0000402,0.003484,0.8272,0.0001829,0.0233,0.8033
0.6349,0.0001775,0.000725519,0.004741,89.26,0.000794969,0.001774,0.003155613,0.000423618,0.0000414,0.003684,0.833,0.0001115,0.02313,0.8738
0.6349,0.0001775,0.000826632,0.004741,89.26,0.00074368,0.001774,0.003164348,0.000389196,0.0000351,0.003324,0.8533,0.0001514,0.02524,0.8389
0.6349,0.0001775,0.00074002,0.004741,89.26,0.000720271,0.001774,0.002329283,0.000387016,0.000031,0.003321,0.8731,0.0001788,0.02528,0.8076
0.6349,0.0001775,0.001110652,0.004741,89.26,0.000616038,0.001774,0.003950446,0.000413313,0.0000382,0.003529,0.8391,0.000103,0.02269,0.8856
0.6349,0.0001775,0.000871397,0.004741,89.26,0.000655,0.001774,0.002354119,0.000329519,0.000039,0.003539,0.8409,0.000249,0.02418,0.7602
0.6349,0.0001775,0.000933558,0.004741,89.26,0.000769076,0.001774,0.002882991,0.000379122,0.0000348,0.003321,0.8523,0.00006964,0.02511,0.9549
0.6349,0.0001775,0.000798694,0.004741,89.26,0.000647372,0.001774,0.002609619,0.000338796,0.0000309,0.003371,0.877,0.00006842,0.02226,0.9388
0.6349,0.0001775,0.001054444,0.004741,89.26,0.000762791,0.001774,0.003323793,0.000392857,0.0000326,0.003336,0.8654,0.00009499,0.0272,0.8968
0.6349,0.0001775,0.000578333,0.004741,89.26,0.000623399,0.001774,0.002624875,0.000386602,0.0000471,0.003765,0.8088,0.0001099,0.02618,0.8681
0.6349,0.0001775,0.000998046,0.004741,89.26,0.000597568,0.001774,0.003330465,0.000419679,0.000036,0.003467,0.8503,0.00009975,0.02287,0.8758
0.6349,0.0001775,0.00087442,0.004741,89.26,0.000668495,0.001774,0.002757458,0.000322077,0.0000312,0.003463,0.8771,0.0001092,0.022,0.8708
0.6349,0.0001775,0.001200786,0.004741,89.26,0.00073473,0.001774,0.003477851,0.000380214,0.0000399,0.003497,0.8335,0.00005914,0.02333,0.9682
0.6349,0.0001775,0.000943273,0.004741,89.26,0.000659656,0.001774,0.003948422,0.000429986,0.0000341,0.0035,0.8641,0.0001671,0.02605,0.8094
