A1,B1,n
0.0002968,0.04651,0.7883
0.0001924,0.04714,0.8641
0.0001782,0.0469,0.857
0.0002571,0.06966,0.8488
0.00027,0.07915,0.8662
0.0001038,0.0287,0.893
9.918e-05,0.0317,0.9148
0.0001671,0.04695,0.8855
0.0003411,0.04371,0.7514
7.779e-05,0.03394,0.9448
0.0001201,0.04031,0.9056
0.0001384,0.03295,0.8639
0.0001537,0.03564,0.8597
0.0001012,0.05081,0.9519
0.0002849,0.06404,0.8256
0.0001519,0.06174,0.9283
0.0001304,0.0415,0.9064
0.0002023,0.02531,0.7874
9.594e-05,0.02747,0.9018
0.0002437,0.04895,0.8158
0.0001119,0.03462,0.8957
0.0001299,0.02746,0.8494
0.0002075,0.04136,0.8231
0.0001861,0.03916,0.8524
0.0002198,0.04157,0.8093
0.000267,0.05818,0.8308
0.0001327,0.03385,0.8867
0.0002098,0.03348,0.8106
0.0002065,0.05133,0.854
6.7e-05,0.04054,0.9806
0.0002124,0.0528,0.8476
0.0002885,0.03958,0.7748
0.0001757,0.03386,0.8349
0.0004604,0.063,0.7627
0.0001963,0.04083,0.8411
0.0002885,0.04912,0.8055
0.0002299,0.03266,0.7927
0.0001831,0.04027,0.8512
0.0003678,0.0363,0.7383
0.0001359,0.04944,0.9194
0.0001715,0.0556,0.8888
0.0001458,0.04215,0.8743
0.0001404,0.03353,0.8541
0.0002729,0.06577,0.8301
0.0002767,0.05736,0.8237
8.764e-05,0.03361,0.9416
0.0002635,0.04235,0.7871
0.0001964,0.04742,0.8525
0.0001837,0.02795,0.8196
0.0001558,0.0337,0.8565
0.0001096,0.02696,0.8961
0.0001629,0.03977,0.8551
0.0001011,0.03256,0.9079
7.737e-05,0.02866,0.9456
0.0001334,0.03449,0.8643
8.26e-05,0.02771,0.9218
0.0002893,0.07508,0.8405
0.0001685,0.03683,0.8702
0.0001642,0.05181,0.8857
0.0001885,0.04567,0.8533
0.0001278,0.04198,0.8998
0.0001836,0.02999,0.8303
0.0001712,0.03902,0.8623
0.0001364,0.04355,0.8994
0.0001843,0.03235,0.8162
0.0001925,0.0411,0.8373
0.0003408,0.04608,0.7734
0.0001168,0.04945,0.9289
0.0001386,0.02132,0.8345
9.763e-05,0.0285,0.9112
0.000244,0.0613,0.8478
0.0001551,0.03956,0.86
0.0001978,0.03907,0.8312
0.0001177,0.03292,0.8889
0.000125,0.03781,0.8959
