time,ventilation,HR,ventilation_baseline,HR_baseline
-1.5734,12.6305,15.498,0.973681573,1.194736315
-1.0859,13.3133,15.7028,1.026318427,1.210524287
-0.6593,13.3815,16.249,1.031575945,1.252630686
-0.1108,12.9719,15.9076,1,1.22631226
0.4377,10.5823,13.4498,0.815786431,1.036841172
0.9252,7.9197,10.1044,0.610527371,0.778945259
1.5346,7.1687,9.8996,0.552632999,0.763157286
1.9003,6.2811,7.8514,0.484208173,0.605262144
2.4488,6.2129,7.3735,0.478950655,0.568420971
2.9363,6.4859,7.988,0.499996146,0.615792598
3.3629,6.4859,7.988,0.499996146,0.615792598
3.9114,6.4859,8.1928,0.499996146,0.63158057
4.4598,6.4859,8.5341,0.499996146,0.657891288
4.9474,7.2369,9.2169,0.557890517,0.710528142
5.374,7.3735,9.5582,0.568420971,0.736838859
5.8615,7.9197,9.6265,0.610527371,0.742104087
6.4709,8.0562,9.6948,0.621050116,0.747369314
6.8366,8.739,10.1727,0.67368697,0.784210486
7.446,8.8755,10.5141,0.684209715,0.810528912
7.9335,8.8755,10.5823,0.684209715,0.815786431
8.3601,9.2851,11.2651,0.71578566,0.868423284
8.9695,9.5582,12.2892,0.736838859,0.947370855
9.3352,9.7631,11.8112,0.752634541,0.910521974
9.9446,9.8313,12.2892,0.757892059,0.947370855
10.3712,10.1727,12.2892,0.784210486,0.947370855
10.9806,10.7189,12.8353,0.826316885,0.989469546
11.4072,11.1285,13.6546,0.85789283,1.052629145
11.8338,10.6506,13.8594,0.821051658,1.068417117
12.3823,11.3333,13.996,0.873680802,1.078947571
12.8698,11.3333,13.8594,0.873680802,1.068417117
13.4183,11.4699,13.996,0.884211257,1.078947571
13.8449,11.3333,13.6546,0.873680802,1.052629145
14.4543,11.1968,13.5181,0.863158057,1.042106399
14.8809,12.2209,15.498,0.942105628,1.194736315
15.3684,12.3574,15.498,0.952628374,1.194736315
15.9169,11.5382,14.2691,0.889476484,1.100000771
16.3435,11.6747,14.8153,0.899999229,1.14210717
16.892,12.0843,15.498,0.931575174,1.194736315
17.3186,12.494,15.498,0.963158828,1.194736315
17.867,12.5622,15.3614,0.968416346,1.18420586
18.2936,12.7671,16.3173,0.984212028,1.257895913
18.8421,12.7671,15.9759,0.984212028,1.231577487
19.3296,13.5181,16.6586,1.042106399,1.284206631
19.8172,12.7671,15.5663,0.984212028,1.200001542
