"time","LR","MR","HR"
0,16.92,20.6,24.45
15.67,16.83,21.56,29.69
47.33,15.17,22.37,32.81
76.67,15,21.37,31.15
106.67,16.79,22.73,32.01
123,4.34,13.25,18.74
130.67,3.53,12.32,19.41
142.33,6.29,13.44,18.33
165.67,6.05,14.13,25.01
183.33,-0.68,6.46,16.79
190,1.25,8.5,16.74
204,4.73,8.91,14.35
226,5.15,10.37,16.63
243.33,3.36,9.29,17.7
251.33,3.26,10.02,15.84
265,4.81,10.36,15.75
286.33,5.78,11,17.32
303,5.53,10.75,16.68
311.67,4.55,10.59,16.14
323.33,5,10.33,16.43
346,5.86,11.46,16.96
361,5.44,10.99,18.19
