kout,k12,k13,k21,k31,A1,B1,n,A2,B2,n2
0.00221239,0.002170327,0.003037633,0.002068776,0.000208522,4.05E-05,0.003645,0.8367,0.0002968,0.04651,0.7883
0.001881348,0.002620039,0.004450433,0.002208196,0.000228283,3.43E-05,0.003512,0.8578,0.0001924,0.04714,0.8641
0.00164585,0.003021674,0.00316574,0.002761162,0.000258326,3.18E-05,0.003361,0.8694,0.0001782,0.0469,0.857
0.002675918,0.003495702,0.00378982,0.003438685,0.00022177,3.40E-05,0.003667,0.8693,0.0002571,0.06966,0.8488
0.002159745,0.003500944,0.002834139,0.002766363,0.000238979,3.22E-05,0.003427,0.8677,0.00027,0.07915,0.8662
0.00179985,0.003087925,0.003910735,0.002285262,0.000214455,3.23E-05,0.003561,0.8731,0.0001038,0.0287,0.893
0.001681761,0.00346237,0.003249553,0.001691126,0.000199146,3.23E-05,0.00342,0.8682,9.92E-05,0.0317,0.9148
0.00176447,0.00378174,0.003408948,0.002749129,0.000231792,3.49E-05,0.003296,0.8495,0.0001671,0.04695,0.8855
0.002047479,0.002403684,0.002995256,0.002916115,0.00019437,4.61E-05,0.003905,0.8178,0.0003411,0.04371,0.7514
0.001912844,0.003533566,0.003046725,0.001852631,0.000244889,3.19E-05,0.003373,0.8695,7.78E-05,0.03394,0.9448
0.001729609,0.004187279,0.003343391,0.002461054,0.000227844,3.28E-05,0.003331,0.8609,0.0001201,0.04031,0.9056
0.002130935,0.003305206,0.00316737,0.002700184,0.000228291,3.51E-05,0.003529,0.8587,0.0001384,0.03295,0.8639
0.001862212,0.003872965,0.002541619,0.003194206,0.000199196,3.19E-05,0.003453,0.873,0.0001537,0.03564,0.8597
0.001552948,0.005347932,0.003664043,0.002671283,0.000275341,3.58E-05,0.003556,0.8585,0.0001012,0.05081,0.9519
0.002006255,0.003514878,0.00413817,0.001609991,0.000231128,3.46E-05,0.003438,0.8565,0.0002849,0.06404,0.8256
0.001853164,0.004314325,0.00315099,0.002413311,0.000222843,3.47E-05,0.003411,0.8517,0.0001519,0.06174,0.9283
0.001786355,0.00213454,0.00308192,0.002563385,0.000261102,4.04E-05,0.003668,0.8352,0.0001304,0.0415,0.9064
0.002295235,0.003639025,0.003361538,0.002609096,0.000208649,4.13E-05,0.003876,0.8369,0.0002023,0.02531,0.7874
0.001500605,0.003448131,0.002350053,0.003250312,0.000257539,3.53E-05,0.003537,0.8564,9.59E-05,0.02747,0.9018
0.002275211,0.003073029,0.002660218,0.001901146,0.000220879,3.66E-05,0.003321,0.8452,0.0002437,0.04895,0.8158
0.001966129,0.003918023,0.00337582,0.002644319,0.000234183,3.45E-05,0.003346,0.8553,0.0001119,0.03462,0.8957
0.001433912,0.002968783,0.003587856,0.002173538,0.000215536,3.54E-05,0.003436,0.8525,0.0001299,0.02746,0.8494
0.00234606,0.002641295,0.003613308,0.002518455,0.000225815,3.75E-05,0.003396,0.8414,0.0002075,0.04136,0.8231
0.002017759,0.00419217,0.004035647,0.002941564,0.000218076,3.17E-05,0.003345,0.8654,0.0001861,0.03916,0.8524
0.001946107,0.003289744,0.003566981,0.002566784,0.00026227,4.01E-05,0.003557,0.8335,0.0002198,0.04157,0.8093
0.002097023,0.004514926,0.003404114,0.001564483,0.00022266,3.92E-05,0.003536,0.84,0.000267,0.05818,0.8308
0.002124,0.003075049,0.003939767,0.002065028,0.000226123,3.42E-05,0.003399,0.8557,0.0001327,0.03385,0.8867
0.001640954,0.003663964,0.004337119,0.002154804,0.000230379,3.17E-05,0.00355,0.8783,0.0002098,0.03348,0.8106
0.001726804,0.005097895,0.003010808,0.002235555,0.000217172,3.70E-05,0.003384,0.8403,0.0002065,0.05133,0.854
0.001582113,0.003060435,0.004370098,0.002181629,0.000247084,3.90E-05,0.003749,0.8432,6.70E-05,0.04054,0.9806
0.001748244,0.00410849,0.004677448,0.002992932,0.000205633,3.77E-05,0.003298,0.8342,0.0002124,0.0528,0.8476
0.001412436,0.002645089,0.003512501,0.002737938,0.000211874,3.11E-05,0.003535,0.8824,0.0002885,0.03958,0.7748
0.001785983,0.003788809,0.004251857,0.00202169,0.000217349,3.88E-05,0.003627,0.8413,0.0001757,0.03386,0.8349
0.002211445,0.00371814,0.004008153,0.002368354,0.000241179,4.02E-05,0.003484,0.8272,0.0004604,0.063,0.7627
0.0025316,0.003668408,0.005458949,0.002136503,0.000262558,4.14E-05,0.003684,0.833,0.0001963,0.04083,0.8411
0.001808119,0.003119623,0.006039483,0.0023914,0.000204114,3.51E-05,0.003324,0.8533,0.0002885,0.04912,0.8055
0.001843495,0.002882405,0.003851812,0.00242721,0.000246957,3.10E-05,0.003321,0.8731,0.0002299,0.03266,0.7927
0.00167613,0.003761467,0.003339202,0.001445665,0.00024496,3.82E-05,0.003529,0.8391,0.0001831,0.04027,0.8512
0.002099071,0.003932425,0.002904249,0.002694445,0.000232299,3.90E-05,0.003539,0.8409,0.0003678,0.0363,0.7383
0.001910841,0.003545205,0.003552618,0.001480345,0.00020335,3.48E-05,0.003321,0.8523,0.0001359,0.04944,0.9194
0.001999877,0.00259505,0.00371671,0.002450763,0.000259693,3.09E-05,0.003371,0.877,0.0001715,0.0556,0.8888
0.00260095,0.003899185,0.003410823,0.002109449,0.000247306,3.26E-05,0.003336,0.8654,0.0001458,0.04215,0.8743
0.001611351,0.002394779,0.004223479,0.001978804,0.00024852,4.71E-05,0.003765,0.8088,0.0001404,0.03353,0.8541
0.001749415,0.003074526,0.003246712,0.002935403,0.000227431,3.60E-05,0.003467,0.8503,0.0002729,0.06577,0.8301
0.0020644,0.002572554,0.003491956,0.002273512,0.00022661,3.12E-05,0.003463,0.8771,0.0002767,0.05736,0.8237
0.002043265,0.003506502,0.003572579,0.003333211,0.000221606,3.99E-05,0.003497,0.8335,8.76E-05,0.03361,0.9416
