Kon (pM^-n)*s^-1,Koff (s^-1),n
9.36e-06,0.0002433,1.031
8.363e-06,0.0002229,1.054
9.294e-06,0.0002276,1.036
1.191e-05,0.0002481,0.9931
1.01e-05,0.0002438,1.023
1.265e-05,0.0002372,0.9758
1.24e-05,0.0002799,0.9842
7.259e-06,0.0002351,1.081
9.306e-06,0.000257,1.036
9.74e-06,0.0002462,1.037
9.386e-06,0.0002367,1.04
6.877e-06,0.0002271,1.078
7.309e-06,0.000226,1.078
8.973e-06,0.0002363,1.041
8.649e-06,0.0002315,1.051
1.041e-05,0.0002573,1.014
8.594e-06,0.0002194,1.053
8.459e-06,0.0002385,1.051
1.485e-05,0.0002464,0.9541
1.056e-05,0.0002639,1.013
1.049e-05,0.000263,1.026
1.006e-05,0.0002238,1.036
1.094e-05,0.0002382,1.002
1.271e-05,0.0002402,0.975
1.194e-05,0.000243,1.003
1.064e-05,0.000247,1.01
1.057e-05,0.0002402,1.013
1.08e-05,0.0002456,0.9974
8.361e-06,0.0002286,1.066
8.582e-06,0.0002491,1.045
9.674e-06,0.0002539,1.029
1.186e-05,0.0002791,1.004
8.161e-06,0.0002537,1.068
1.084e-05,0.0002519,1.012
9.502e-06,0.0002599,1.035
1.138e-05,0.0002714,1.012
8.767e-06,0.00024,1.046
9.044e-06,0.0002518,1.049
1.039e-05,0.00026,1.025
8.923e-06,0.0002335,1.062
9.688e-06,0.000243,1.031
1.146e-05,0.0002537,1.003
6.886e-06,0.0002343,1.081
1.16e-05,0.0002763,0.9989
6.451e-06,0.0002167,1.096
1.186e-05,0.0002466,0.993
9.334e-06,0.000246,1.035
8.482e-06,0.0002406,1.051
1.255e-05,0.0002442,0.9873
1.184e-05,0.000238,0.9958
9.43e-06,0.0002398,1.028
1.084e-05,0.0002341,1.015
1.003e-05,0.0002665,1.025
1.394e-05,0.0002245,0.9637
1.283e-05,0.0002257,0.9793
9.875e-06,0.0002386,1.029
7.744e-06,0.000242,1.072
1.067e-05,0.0002713,1.003
1.106e-05,0.0002385,1.003
8.552e-06,0.0002338,1.052
8.971e-06,0.0002271,1.045
1e-05,0.0002487,1.026
8.725e-06,0.000248,1.041
8.817e-06,0.000252,1.057
9.81e-06,0.0002231,1.033
9.04e-06,0.0002536,1.051
6.814e-06,0.0002457,1.101
8.856e-06,0.0002314,1.044
7.187e-06,0.0002554,1.088
7.669e-06,0.0002583,1.075
6.978e-06,0.000234,1.067
