Kon,Koff,n
4.317e-05,0.004774,0.7663
1.157e-05,0.003845,1.014
4.298e-05,0.004224,0.7979
1.163e-05,0.004128,1.011
1.578e-05,0.004437,0.9437
3.326e-05,0.004415,0.8327
3.472e-05,0.004223,0.8239
3.037e-05,0.004291,0.8345
3.562e-05,0.005003,0.8358
3.685e-05,0.003974,0.8078
1.087e-05,0.003873,1.021
5.517e-05,0.004721,0.7452
1.133e-05,0.003694,1.006
3.94e-05,0.003911,0.8041
1.731e-05,0.004393,0.9527
7.502e-06,0.003735,1.1
1.95e-05,0.004116,0.9029
3.747e-05,0.004747,0.8158
0.0001095,0.004129,0.6317
2.601e-05,0.004604,0.8583
2.892e-05,0.004368,0.8457
0.0001132,0.004765,0.6041
3.601e-05,0.004682,0.8099
1.647e-05,0.004404,0.947
4.435e-05,0.004526,0.7564
1.554e-05,0.003731,0.9589
4.39e-05,0.004382,0.778
0.0001062,0.004521,0.6232
4.408e-05,0.004454,0.791
3.47e-05,0.004467,0.8248
4.118e-05,0.004008,0.7952
4.974e-05,0.004945,0.751
3.382e-05,0.004808,0.8406
8.765e-06,0.004246,1.056
2.676e-05,0.004578,0.8573
1.626e-05,0.004074,0.9486
3.131e-05,0.004397,0.8209
1.143e-05,0.003591,1.008
1.745e-05,0.004567,0.9052
1.731e-05,0.003876,0.9341
1.227e-05,0.003814,0.9998
7.133e-05,0.004508,0.7011
0.0001207,0.005236,0.6285
6.327e-05,0.004952,0.7141
1.774e-05,0.004107,0.9305
4.254e-05,0.004249,0.7862
2.986e-05,0.004606,0.8516
2.211e-05,0.004428,0.894
4.815e-05,0.004579,0.7581
1.089e-05,0.004391,1.023
3.497e-05,0.003984,0.8189
3.979e-05,0.004493,0.8093
0.0001005,0.004273,0.6549
4.66e-05,0.003723,0.7706
2.334e-05,0.004508,0.8969
5.215e-05,0.003954,0.7566
2.523e-05,0.004432,0.8836
1.279e-05,0.003995,0.9874
1.67e-05,0.0038,0.9398
2.354e-05,0.004345,0.8815
3.301e-05,0.004525,0.8384
1.916e-05,0.00408,0.909
1.056e-05,0.003882,1.009
3.589e-05,0.004767,0.8473
3.111e-05,0.004154,0.8215
2.1e-05,0.004378,0.9119
4.813e-05,0.00465,0.7682
3.505e-05,0.004315,0.8234
3.823e-05,0.004417,0.7952
6.208e-05,0.004178,0.7369
1.109e-05,0.003704,1.026
1.396e-05,0.003819,0.9859
1.57e-05,0.004519,0.9554
1.441e-05,0.004345,0.9719
1.181e-05,0.003891,1.015
5.53e-05,0.004158,0.7485
2.329e-05,0.003962,0.8815
3.106e-05,0.004764,0.8473
2.685e-05,0.004553,0.8761
3.381e-05,0.004853,0.8474
1.783e-05,0.004234,0.9397
6.468e-05,0.004331,0.713
1.039e-05,0.003807,1.01
4.395e-05,0.003859,0.775
8.985e-05,0.004483,0.6818
5.162e-05,0.004163,0.753
2.051e-05,0.004011,0.9067
1.097e-05,0.004017,1.014
3.619e-05,0.003914,0.8052
2.317e-05,0.004437,0.8977
1.363e-05,0.004152,0.9996
3.852e-05,0.004693,0.8282
4.717e-05,0.004891,0.7843
7.182e-05,0.004467,0.6833
2.229e-05,0.00469,0.8792
3.242e-05,0.004118,0.8362
3.421e-05,0.004265,0.8271
2.343e-05,0.004097,0.9115
1.265e-05,0.003836,0.9804
5.872e-05,0.003939,0.7464
6.949e-05,0.004558,0.6843
3.502e-05,0.004198,0.7995
2.048e-05,0.004084,0.8939
1.115e-05,0.003807,1.008
2.429e-05,0.004094,0.8876
1.423e-05,0.004301,0.9543
0.0001138,0.004626,0.6236
3.126e-05,0.00421,0.8311
6.357e-05,0.004678,0.7262
5.022e-05,0.004547,0.7487
2.698e-05,0.004189,0.8663
2.33e-05,0.004587,0.8858
4.035e-05,0.004173,0.7853
1.679e-05,0.004172,0.939
3.508e-05,0.004181,0.832
3.268e-05,0.004147,0.8393
1.302e-05,0.003891,0.9862
4.868e-05,0.004397,0.7617
4.718e-05,0.003946,0.7701
1.767e-05,0.004067,0.9333
2.714e-05,0.004364,0.8761
4.613e-05,0.004515,0.7772
4.582e-05,0.004373,0.7745
4.373e-05,0.0045,0.7814
3.073e-05,0.004463,0.8297
2.524e-05,0.004479,0.8764
2.142e-05,0.00479,0.9044
3.734e-05,0.004369,0.8075
1.559e-05,0.004207,0.9539
4.226e-05,0.003857,0.7936
4.615e-05,0.003866,0.7674
6.272e-05,0.004797,0.7148
1.788e-05,0.003867,0.936
4.171e-05,0.00454,0.7675
8.269e-05,0.004723,0.6828
1.468e-05,0.004112,0.9583
2.847e-05,0.004609,0.8858
7.218e-05,0.005037,0.7354
2.57e-05,0.00452,0.8694
1.796e-05,0.003998,0.9336
5.924e-06,0.004004,1.124
2.684e-05,0.004296,0.8571
5.695e-05,0.004805,0.7299
2.108e-05,0.004665,0.8968
3.093e-05,0.004576,0.8361
2.991e-05,0.004328,0.8309
3.34e-05,0.004775,0.8503
4.493e-05,0.004506,0.7792
3.797e-05,0.004207,0.8016
1.925e-05,0.004434,0.9138
3.283e-05,0.004251,0.8243
6.072e-05,0.004544,0.7271
4.802e-05,0.005,0.7864
2.868e-05,0.005009,0.8608
4.408e-05,0.004087,0.7768
3.069e-05,0.004595,0.849
6.859e-05,0.004317,0.6805
1.09e-05,0.003894,1.023
1.437e-05,0.003834,0.976
1.292e-05,0.004498,0.9866
3.696e-05,0.004777,0.8114
9.917e-06,0.003734,1.025
3.676e-05,0.004693,0.8054
6.531e-05,0.004295,0.707
1.438e-05,0.004462,0.972
3.864e-05,0.004167,0.7923
1.249e-05,0.004457,0.9831
2.85e-05,0.004064,0.8601
4.485e-05,0.004917,0.7837
3.192e-05,0.004322,0.842
2.876e-05,0.004236,0.846
2.026e-05,0.004183,0.889
2.777e-05,0.004789,0.8615
1.43e-05,0.004134,0.9737
3.5e-05,0.004173,0.8209
1.19e-05,0.003556,1.001
8.218e-06,0.003996,1.078
6.272e-06,0.003973,1.124
1.725e-05,0.003934,0.9321
3.426e-05,0.004585,0.8485
3.195e-05,0.004329,0.8323
5.864e-05,0.004743,0.7197
1.725e-05,0.004222,0.9343
3.041e-05,0.004017,0.8391
2.394e-05,0.003975,0.8957
3.766e-05,0.004652,0.8194
4.589e-05,0.004444,0.7525
3.323e-05,0.004633,0.8199
3.213e-05,0.004477,0.8337
1.832e-05,0.003912,0.9284
1.983e-05,0.004254,0.936
2.599e-05,0.004434,0.8787
2.238e-05,0.004615,0.8963
1.641e-05,0.00431,0.9582
9.022e-05,0.004429,0.6617
0.0001334,0.004218,0.5666
1.514e-05,0.004947,0.9576
8.559e-05,0.00519,0.6922
1.441e-05,0.003828,0.9677
1.996e-05,0.00428,0.9124
1.775e-05,0.004018,0.9279
3.001e-05,0.004342,0.8309
1.297e-05,0.004265,0.9896
2.561e-05,0.004578,0.8933
1.488e-05,0.004225,0.9565
2.108e-05,0.004336,0.9248
1.902e-05,0.004191,0.9472
3.976e-05,0.004467,0.8099
2.998e-05,0.004637,0.8398
3.298e-05,0.004281,0.837
4.136e-05,0.004083,0.8061
4.866e-05,0.004669,0.7664
1.627e-05,0.004202,0.9657
2.797e-05,0.004523,0.8612
5.634e-05,0.004488,0.7639
5.747e-05,0.004455,0.7249
3.552e-05,0.004558,0.814
