fulltimes,avg
0,0
1,9.573126361
2,18.92093207
3,28.05497041
4,36.98595261
5,45.72380985
6,54.27777034
7,62.65641845
8,70.86775513
9,78.91924227
10,86.81784745
20,79.67757426
21,78.33927524
22,77.05020368
23,75.80752356
24,74.60860123
25,73.45101352
26,72.33248119
27,71.25093261
28,70.20433602
29,69.19083993
30,68.20875302
31,67.25657781
32,66.33268591
33,65.43576228
34,64.56452706
35,63.71777622
36,62.89439993
37,62.09335138
38,61.31360264
39,60.55426002
40,59.81445349
41,59.09331551
42,58.39005955
43,57.70398525
44,57.03441572
45,56.38071316
46,55.74224026
47,55.11838558
48,54.50860072
49,53.91239138
50,53.32926056
51,52.75871393
52,52.20033484
53,51.65369744
54,51.11831404
55,50.59384256
56,50.07994763
57,49.57628124
58,49.08251106
59,48.59831808
60,48.12339401
61,47.6574553
62,47.20023061
63,46.75144787
64,46.31084368
65,45.8781827
66,45.45323928
67,45.03579353
68,44.62563362
69,44.22256525
70,43.82637302
71,43.43688997
72,43.05394452
73,42.67735789
74,42.30696072
75,41.94258601
76,41.58408493
77,41.23132395
78,40.88413015
79,40.54238087
80,40.20591957
81,39.87468104
82,39.54846351
83,39.22717432
84,38.9107309
85,38.59898726
86,38.29185641
87,37.98922623
88,37.69097326
89,37.39701714
90,37.10725542
91,36.82161814
92,36.53999305
93,36.26231982
94,35.98848771
95,35.71842661
96,35.45207257
97,35.18931499
98,34.93010506
99,34.67437622
100,34.4220495
101,34.17306858
102,33.92735865
103,33.68485539
104,33.44550241
105,33.20924531
106,32.97601123
107,32.74575611
108,32.5184052
109,32.29391898
110,32.07224403
111,31.85332859
112,31.6371221
113,31.42357475
114,31.21263867
115,31.00426756
116,30.79841447
117,30.59503499
118,30.39408689
119,30.19552753
120,29.99931586
121,29.80541139
122,29.61377545
123,29.42436989
124,29.23715775
125,29.0521029
126,28.86916974
127,28.68832346
128,28.5095297
129,28.33275538
130,28.15796787
131,27.98513571
132,27.81422759
133,27.64521322
134,27.47806276
135,27.31274706
136,27.14923734
137,26.98750622
138,26.82752599
139,26.66926954
140,26.51271137
141,26.35782558
142,26.20458691
143,26.0529708
144,25.90295347
145,25.75451102
146,25.60762112
147,25.4622595
148,25.31840518
149,25.1760355
150,25.03513013
151,24.89566708
152,24.75762601
153,24.62098759
154,24.48573139
155,24.35183795
156,24.21928816
157,24.08806329
158,23.95814456
159,23.82951443
160,23.70215475
161,23.57604916
162,23.45117984
163,23.32753027
164,23.20508379
165,23.08382415
166,22.96373516
167,22.84480151
168,22.72700801
169,22.61033911
170,22.49478059
171,22.38031769
172,22.26693605
173,22.15462158
174,22.0433607
175,21.93313954
176,21.82394461
177,21.71576361
178,21.60858251
179,21.50239002
180,21.39717237
181,21.2929166
182,21.18961256
183,21.08724779
184,20.98581109
185,20.88529037
186,20.78567303
187,20.68695003
188,20.58910824
189,20.4921389
190,20.39603042
191,20.30077263
192,20.20635489
193,20.11276751
194,20.01999959
195,19.92804267
196,19.83688627
197,19.74652051
198,19.65693649
199,19.5681249
200,19.48007762
201,19.39278518
202,19.30623821
203,19.22042838
204,19.13534659
205,19.05098477
206,18.96733499
207,18.88438801
208,18.80213728
209,18.72057374
210,18.63969015
211,18.55947867
212,18.47993155
213,18.40104091
214,18.32279994
215,18.24520125
216,18.16823812
217,18.09190248
218,18.01618751
219,17.9410876
220,17.86659459
221,17.79270181
222,17.71940417
223,17.64669366
