"","fulltimes","avg"
"V1",0,0
"V2",1,0.191462527129232
"V3",2,0.378418641227602
"V4",3,0.561099408144246
"V5",4,0.739719052221845
"V6",5,0.91447619709398
"V7",6,1.08555540696374
"V8",7,1.2531283691502
"V9",8,1.4173551027141
"V10",9,1.57838484573524
"V11",10,1.73635694941948
"V12",20,1.59355148542556
"V13",21,1.56678550502562
"V14",22,1.54100407382335
"V15",23,1.51615047138294
"V16",24,1.49217202474983
"V17",25,1.46902027070584
"V18",26,1.44664962397596
"V19",27,1.42501865247183
"V20",28,1.40408672066319
"V21",29,1.38381679878974
"V22",30,1.36417506056263
"V23",31,1.34513155642118
"V24",32,1.326653718346
"V25",33,1.30871524571097
"V26",34,1.29129054127433
"V27",35,1.27435552462565
"V28",36,1.25788799866891
"V29",37,1.24186702779048
"V30",38,1.22627205296584
"V31",39,1.21108520055574
"V32",40,1.19628906984333
"V33",41,1.18186631023993
"V34",42,1.16780119117968
"V35",43,1.15407970505278
"V36",44,1.14068831442769
"V37",45,1.12761426334338
"V38",46,1.11484480524701
"V39",47,1.1023677116702
"V40",48,1.09017201446042
"V41",49,1.07824782770541
"V42",50,1.06658521130636
"V43",51,1.05517427869622
"V44",52,1.04400669697606
"V45",53,1.0330739489201
"V46",54,1.02236628088649
"V47",55,1.01187685126891
"V48",56,1.00159895259923
"V49",57,0.991525624788304
"V50",58,0.981650221330663
"V51",59,0.971966361618887
"V52",60,0.962467880182517
"V53",61,0.95314910611831
"V54",62,0.944004612307822
"V55",63,0.935028957421526
"V56",64,0.926216873696352
"V57",65,0.917563654119617
"V58",66,0.909064785743521
"V59",67,0.900715870672342
"V60",68,0.892512672471966
"V61",69,0.884451305165424
"V62",70,0.876527460493727
"V63",71,0.868737799532387
"V64",72,0.861078890467552
"V65",73,0.85354715793293
"V66",74,0.846139214376928
"V67",75,0.838851720348479
"V68",76,0.831681698704337
"V69",77,0.824626478970056
"V70",78,0.817682603092226
"V71",79,0.81084761754266
"V72",80,0.80411839140154
"V73",81,0.797493620777184
"V74",82,0.790969270271565
"V75",83,0.784543486401678
"V76",84,0.778214618109158
"V77",85,0.771979745282408
"V78",86,0.765837128343784
"V79",87,0.759784524664353
"V80",88,0.753819465224779
"V81",89,0.747940342855606
"V82",90,0.742145108406291
"V83",91,0.736432362841944
"V84",92,0.730799861123184
"V85",93,0.725246396466409
"V86",94,0.719769754287861
"V87",95,0.714368532339215
"V88",96,0.709041451447015
"V89",97,0.70378629975211
"V90",98,0.698602101143119
"V91",99,0.693487524519992
"V92",100,0.688440989976938
"V93",101,0.6834613715725
"V94",102,0.678547173055214
"V95",103,0.673697107886841
"V96",104,0.66891004822783
"V97",105,0.664184906192791
"V98",106,0.659520224555053
"V99",107,0.65491512215043
"V100",108,0.650368104112426
"V101",109,0.645878379596031
"V102",110,0.641444880548742
"V103",111,0.637066571732534
"V104",112,0.632742442058499
"V105",113,0.628471494986148
"V106",114,0.624252773415345
"V107",115,0.62008535120601
"V108",116,0.615968289480039
"V109",117,0.611900699769753
"V110",118,0.607881737733345
"V111",119,0.603910550551743
"V112",120,0.599986317184242
"V113",121,0.596108227813346
"V114",122,0.592275509052311
"V115",123,0.588487397878207
"V116",124,0.584743155022367
"V117",125,0.581042057995436
"V118",126,0.577383394879697
"V119",127,0.573766469134038
"V120",128,0.570190593931865
"V121",129,0.566655107719862
"V122",130,0.563159357331224
"V123",131,0.559702714226536
"V124",132,0.556284551806934
"V125",133,0.552904264428361
"V126",134,0.549561255210918
"V127",135,0.546254941156908
"V128",136,0.542984746776008
"V129",137,0.539750124413484
"V130",138,0.53655051976413
"V131",139,0.533385390914026
"V132",140,0.530254227366358
"V133",141,0.527156511637465
"V134",142,0.52409173827175
"V135",143,0.521059416053988
"V136",144,0.518059069474301
"V137",145,0.515090220433051
"V138",146,0.512152422397289
"V139",147,0.509245190096217
"V140",148,0.506368103684663
"V141",149,0.503520709985718
"V142",150,0.500702602561459
"V143",151,0.497913341578729
"V144",152,0.49515252017571
"V145",153,0.492419751760948
"V146",154,0.489714627820027
"V147",155,0.487036759012695
"V148",156,0.484385763152379
"V149",157,0.481761265776522
"V150",158,0.479162891314409
"V151",159,0.476590288536125
"V152",160,0.474043095047797
"V153",161,0.471520983279294
"V154",162,0.469023596896572
"V155",163,0.466550605327263
"V156",164,0.464101675834208
"V157",165,0.46167648304802
"V158",166,0.45927470323489
"V159",167,0.456896030239272
"V160",168,0.454540160279717
"V161",169,0.452206782196066
"V162",170,0.449895611733141
"V163",171,0.447606353740724
"V164",172,0.445338720935317
"V165",173,0.443092431520423
"V166",174,0.440867213994831
"V167",175,0.438662790759674
"V168",176,0.43647889231254
"V169",177,0.434315272224561
"V170",178,0.4321716502939
"V171",179,0.430047800443459
"V172",180,0.427943447472083
"V173",181,0.42585833206748
"V174",182,0.423792251182671
"V175",183,0.42174495575241
"V176",184,0.419716221717622
"V177",185,0.417705807468703
"V178",186,0.415713460572016
"V179",187,0.413739000512856
"V180",188,0.411782164819561
"V181",189,0.409842778048275
"V182",190,0.407920608332579
"V183",191,0.406015452676059
"V184",192,0.404127097899548
"V185",193,0.402255350297546
"V186",194,0.400399991868336
"V187",195,0.398560853395589
"V188",196,0.396737725342812
"V189",197,0.394930410211389
"V190",198,0.393138729815332
"V191",199,0.391362498087864
"V192",200,0.389601552457472
"V193",201,0.387855703661314
"V194",202,0.386124764205511
"V195",203,0.384408567618674
"V196",204,0.382706931782746
"V197",205,0.381019695338133
"V198",206,0.379346699826376
"V199",207,0.377687760270038
"V200",208,0.376042745672758
"V201",209,0.374411474747318
"V202",210,0.372793802930961
"V203",211,0.371189573329032
"V204",212,0.369598631104238
"V205",213,0.368020818284365
"V206",214,0.366455998739578
"V207",215,0.364904025000845
"V208",216,0.363364762325143
"V209",217,0.361838049511112
"V210",218,0.36032375020463
"V211",219,0.35882175193799
"V212",220,0.357331891760138
"V213",221,0.355854036114472
"V214",222,0.354388083403997
"V215",223,0.352933873157431
"V216",224,0.351491287413033
"V217",225,0.350060208832057
"V218",226,0.348640487093791
"V219",227,0.347232028150752
"V220",228,0.345834684878028
"V221",229,0.344448357503842
"V222",230,0.343072922452511
"V223",231,0.341708261219323
"V224",232,0.340354259139606
"V225",233,0.339010820421692
"V226",234,0.33767778542019
"V227",235,0.336355103617527
"V228",236,0.335042635211656
"V229",237,0.333740280741659
"V230",238,0.332447927967928
"V231",239,0.331165466462777
"V232",240,0.329892800773342
"V233",241,0.328629847183663
"V234",242,0.327376478701481
"V235",243,0.326132613357758
"V236",244,0.324898126484183
"V237",245,0.323672962432126
"V238",246,0.322456994373124
"V239",247,0.32125012100439
"V240",248,0.320052296748415
"V241",249,0.318863396223275
"V242",250,0.317683329505264
"V243",251,0.316512008119084
"V244",252,0.315349345267112
"V245",253,0.31419525508426
"V246",254,0.313049652018641
"V247",255,0.311912451027318
"V248",256,0.310783568188657
"V249",257,0.30966292065257
"V250",258,0.308550426405023
"V251",259,0.30744600439707
"V252",260,0.30634957484874
"V253",261,0.305261059297796
"V254",262,0.304180381041031
"V255",263,0.303107464177768
"V256",264,0.302042233193525
"V257",265,0.300984612888652
"V258",266,0.299934529146924
"V259",267,0.298891898053681
"V260",268,0.297856664606653
"V261",269,0.296828738768568
"V262",270,0.29580808364077
"V263",271,0.294794605494485
"V264",272,0.293788236582361
"V265",273,0.292788909859377
"V266",274,0.291796558637363
"V267",275,0.29081111660888
"V268",276,0.289832518371706
"V269",277,0.28886069920044
"V270",278,0.28789559462135
"V271",279,0.286937141221967
"V272",280,0.285985276396062
"V273",281,0.285039938630719
"V274",282,0.284101067692137
"V275",283,0.283168603973683
"V276",284,0.282242488188264
"V277",285,0.281322661449715
"V278",286,0.280409063753178
"V279",287,0.279501638244955
"V280",288,0.278600331005215
"V281",289,0.277705083977645
"V282",290,0.276815842164166
"V283",291,0.275932548768569
"V284",292,0.275055149553455
"V285",293,0.274183591553731
"V286",294,0.273317822059412
"V287",295,0.272457788739704
"V288",296,0.271603439879484
"V289",297,0.270754724286406
"V290",298,0.269911590936254
"V291",299,0.269073989492767
"V292",300,0.268241870083098
"V293",301,0.267415183346958
"V294",302,0.266593875863462
"V295",303,0.265777896007648
"V296",304,0.264967230571308
"V297",305,0.264161805841621
"V298",306,0.263361575967607
"V299",307,0.262566495625475
"V300",308,0.261776519775142
"V301",309,0.260991603866017
"V302",310,0.260211699354209
"V303",311,0.25943675499235
"V304",312,0.258666747317911
"V305",313,0.257901638463937
"V306",314,0.257141364368424
"V307",315,0.25638590109497
"V308",316,0.255635197676664
"V309",317,0.254889224594184
"V310",318,0.254147927529883
"V311",319,0.25341126664685
"V312",320,0.252679202430544
"V313",321,0.251951695735367
"V314",322,0.25122870772165
"V315",323,0.250510200468534
"V316",324,0.249796137221339
"V317",325,0.249086480540985
"V318",326,0.24838118206305
"V319",327,0.247680206590764
"V320",328,0.24698355670253
"V321",329,0.246291164917034
"V322",330,0.245602995817632
"V323",331,0.244919014153233
"V324",332,0.24423918469016
"V325",333,0.243563473170663
"V326",334,0.242891846674238
"V327",335,0.242224271425234
"V328",336,0.241560713649379
"V329",337,0.240901139870052
"V330",338,0.240245516997611
"V331",339,0.23959381275195
"V332",340,0.238945995185758
"V333",341,0.238302032517879
"V334",342,0.237661893016988
"V335",343,0.237025545763542
"V336",344,0.236392960938115
"V337",345,0.235764108074138
"V338",346,0.235138956674734
"V339",347,0.234517476204717
"V340",348,0.233899636251794
"V341",349,0.233285407561372
"V342",350,0.232674761250267
"V343",351,0.232067668603389
"V344",352,0.231464100994379
"V345",353,0.230864029868572
"V346",354,0.230267420581744
"V347",355,0.22967425948261
"V348",356,0.229084521315829
"V349",357,0.228498169080406
"V350",358,0.227915175689977
"V351",359,0.227335514971682
"V352",360,0.226759161027622
"V353",361,0.226186088065953
"V354",362,0.225616270350084
"V355",363,0.225049682683583
"V356",364,0.224486300623031
"V357",365,0.223926099399014
"V358",366,0.223369054221026
"V359",367,0.222815140198574
"V360",368,0.222264325510707
"V361",369,0.221716595650529
"V362",370,0.221171930360843
"V363",371,0.22063030098295
"V364",372,0.220091681846496
"V365",373,0.219556049840588
"V366",374,0.219023382639545
