"","fulltimes","avg"
"V1",0,0
"V2",1,2.39328158842735
"V3",2,4.73023301483001
"V4",3,7.0137426011933
"V5",4,9.24648815191982
"V6",5,11.4309524624532
"V7",6,13.5694425853476
"V8",7,15.6641046121026
"V9",8,17.7169387809868
"V10",9,19.7298105680076
"V11",10,21.7044618632463
"V12",20,19.9193935644434
"V13",21,19.5848188095669
"V14",22,19.2625509196994
"V15",23,18.9518808893287
"V16",24,18.6521503065598
"V17",25,18.3627533811731
"V18",26,18.0831202972086
"V19",27,17.8127331535413
"V20",28,17.5510840060428
"V21",29,17.2977099827187
"V22",30,17.0521882549793
"V23",31,16.8141444533059
"V24",32,16.5831714774462
"V25",33,16.3589405695833
"V26",34,16.1411317641854
"V27",35,15.9294440561379
"V28",36,15.7235999817452
"V29",37,15.523337845817
"V30",38,15.3284006605521
"V31",39,15.1385650054879
"V32",40,14.9536133716188
"V33",41,14.7733288766011
"V34",42,14.5975148883732
"V35",43,14.4259963118197
"V36",44,14.2586039290539
"V37",45,14.095178290549
"V38",46,13.9355600643736
"V39",47,13.7795963946869
"V40",48,13.6271501795973
"V41",49,13.4780978452011
"V42",50,13.332315140241
"V43",51,13.189678482632
"V44",52,13.0500837111291
"V45",53,12.9134243604255
"V46",54,12.7795785100194
"V47",55,12.6484606398344
"V48",56,12.519986906499
"V49",57,12.394070308899
"V50",58,12.2706277657108
"V51",59,12.1495795193384
"V52",60,12.0308485014074
"V53",61,11.9143638256289
"V54",62,11.8000576530168
"V55",63,11.687861966946
"V56",64,11.5777109203894
"V57",65,11.4695456756887
"V58",66,11.3633098209942
"V59",67,11.2589483826114
"V60",68,11.1564084051185
"V61",69,11.055641313793
"V62",70,10.9565932554094
"V63",71,10.8592224934105
"V64",72,10.7634861301248
"V65",73,10.6693394734638
"V66",74,10.576740179031
"V67",75,10.4856465036921
"V68",76,10.3960212331516
"V69",77,10.3078309864771
"V70",78,10.22103253801
"V71",79,10.1355952186453
"V72",80,10.0514798918944
"V73",81,9.96867025908453
"V74",82,9.88711587778258
"V75",83,9.80679357943512
"V76",84,9.72768272579079
"V77",85,9.64974681546932
"V78",86,9.57296410373847
"V79",87,9.49730655774431
"V80",88,9.42274331476041
"V81",89,9.34925428515701
"V82",90,9.27681385455667
"V83",91,9.20540453501146
"V84",92,9.13499826354154
"V85",93,9.0655799553355
"V86",94,8.99712192810753
"V87",95,8.9296066537511
"V88",96,8.86301814259193
