F1,kin,kout,ktr,kout2,k1,k2,k12,k21,A1,B1,n,A2,B2,n2,V1
0.6349,0.0001775,0.000630875,0.004741,89.26,0.000812434,0.001774,0.002315957,0.000379713,1.21E-05,0.0003926,0.899,0.00009257,0.02345,0.8352,3224
0.6349,0.0001775,0.000891057,0.004741,89.26,0.000684751,0.001774,0.003191602,0.000397091,2.53E-06,0.0002628,1.23,0.00009955,0.0227,0.8211,3224
0.6349,0.0001775,0.000899519,0.004741,89.26,0.000563204,0.001774,0.003010257,0.00036965,2.37E-06,0.0002552,1.247,0.0000865,0.02167,0.8293,3224
0.6349,0.0001775,0.000967274,0.004741,89.26,0.000652594,0.001774,0.003305867,0.000449589,1.54E-05,0.0003878,0.8633,0.00005918,0.02201,0.8909,3224
0.6349,0.0001775,0.000915969,0.004741,89.26,0.00068388,0.001774,0.00296001,0.000349019,1.00E-06,0.0001745,1.425,0.00008056,0.02229,0.8472,3224
0.6349,0.0001775,0.000841965,0.004741,89.26,0.000595146,0.001774,0.002649115,0.000348924,6.51E-06,0.0003186,1.025,0.00009794,0.02284,0.8275,3224
0.6349,0.0001775,0.000763565,0.004741,89.26,0.000722999,0.001774,0.003343686,0.000419673,1.06E-06,0.0002009,1.403,0.00007396,0.02295,0.8657,3224
0.6349,0.0001775,0.000994361,0.004741,89.26,0.000658656,0.001774,0.002890858,0.000359689,5.14E-06,0.0003135,1.072,0.0001319,0.02338,0.7789,3224
0.6349,0.0001775,0.000716569,0.004741,89.26,0.000614363,0.001774,0.002826083,0.000396912,3.14E-06,0.0002644,1.172,0.00008164,0.02245,0.8509,3224
0.6349,0.0001775,0.001058251,0.004741,89.26,0.000715326,0.001774,0.003757807,0.000416274,2.56E-06,0.0002518,1.226,0.00008422,0.02236,0.8396,3224
0.6349,0.0001775,0.001094142,0.004741,89.26,0.000808248,0.001774,0.004121571,0.00043655,1.08E-06,0.0002085,1.41,0.00008515,0.02303,0.8407,3224
0.6349,0.0001775,0.00086783,0.004741,89.26,0.000621551,0.001774,0.003824171,0.000472587,1.16E-06,0.0002089,1.386,0.00006267,0.02187,0.8818,3224
0.6349,0.0001775,0.000913729,0.004741,89.26,0.000589859,0.001774,0.003624905,0.000412795,5.59E-06,0.0003225,1.068,0.00005827,0.02242,0.9041,3224
0.6349,0.0001775,0.000850966,0.004741,89.26,0.000636429,0.001774,0.002396944,0.000345405,9.97E-06,0.000358,0.9537,0.00009055,0.02343,0.8353,3224
0.6349,0.0001775,0.000751797,0.004741,89.26,0.000661894,0.001774,0.002390914,0.000349903,1.06E-05,0.0003512,0.9309,0.0001268,0.02346,0.7824,3224
0.6349,0.0001775,0.000818771,0.004741,89.26,0.00069427,0.001774,0.003214253,0.000406608,2.87E-06,0.0002803,1.196,0.00007301,0.02208,0.8601,3224
0.6349,0.0001775,0.000840996,0.004741,89.26,0.000607055,0.001774,0.003282649,0.000399572,1.23E-05,0.000391,0.9068,0.0001041,0.02278,0.8089,3224
0.6349,0.0001775,0.000709853,0.004741,89.26,0.000731671,0.001774,0.002439494,0.000380028,1.29E-05,0.0003648,0.8955,0.00008665,0.02298,0.8448,3224
