A2,B2,n2
1.76E-08,0.001023,1.98
3.52E-08,0.003117,1.893
1.40E-08,0.001329,2
7.42E-08,0.001261,1.796
4.20E-08,0.001403,1.85
9.30E-08,0.001224,1.746
2.21E-08,0.001143,1.939
6.14E-08,0.001691,1.78
8.67E-08,0.0008686,1.744
1.35E-08,0.00125,2
4.64E-08,0.00153,1.849
2.51E-08,0.001596,1.911
1.14E-07,0.001677,1.73
1.12E-07,0.001756,1.737
5.74E-08,0.001503,1.826
1.11E-07,0.0009325,1.71
2.86E-08,0.0007294,1.891
7.25E-08,0.001314,1.76
6.47E-08,0.002041,1.802
2.39E-07,0.002,1.635
1.58E-07,0.0008734,1.673
7.17E-07,0.0016,1.45
2.61E-08,0.0007619,1.917
5.63E-08,0.002103,1.813
1.45E-07,0.001181,1.671
8.46E-08,0.001079,1.743
3.82E-08,0.00115,1.865
6.12E-08,0.00114,1.78
1.40E-08,0.0007339,2
1.54E-08,0.001213,1.979
1.03E-07,0.001579,1.722
7.11E-08,0.00167,1.774
7.62E-08,0.00083,1.756
1.65E-08,0.001029,1.971
1.36E-08,0.001194,2
1.12E-07,0.0017,1.714
2.95E-08,0.001093,1.897
8.01E-07,0.003765,1.463
3.19E-07,0.002341,1.578
2.48E-08,0.001544,1.952
1.34E-07,0.001507,1.707
4.03E-08,0.0009073,1.858
7.36E-08,0.001209,1.757
2.21E-08,0.0006096,1.929
1.42E-08,0.0009112,2
1.08E-07,0.001383,1.737
1.86E-07,0.001991,1.67
1.38E-08,0.001248,2
2.41E-07,0.001989,1.62
1.11E-07,0.002696,1.76
3.97E-08,0.001055,1.876
2.82E-08,0.00136,1.905
4.81E-08,0.00113,1.819
1.12E-07,0.001454,1.703
1.30E-07,0.002217,1.7
3.29E-08,0.0007984,1.867
1.54E-08,0.000546,2
7.10E-08,0.0008759,1.773
1.36E-07,0.00259,1.705
4.25E-08,0.001606,1.85
3.09E-08,0.0006761,1.889
1.46E-08,0.001314,2
2.47E-08,0.001355,1.905
7.64E-08,0.001638,1.748
8.95E-08,0.001222,1.774
1.46E-08,0.002206,2
2.86E-07,0.00277,1.616
5.71E-08,0.001673,1.829
1.40E-07,0.002048,1.692
1.25E-07,0.0007869,1.698
9.91E-08,0.001347,1.715
3.04E-08,0.001221,1.901
1.65E-08,0.001906,2
4.75E-08,0.001883,1.834
1.32E-07,0.002386,1.684
1.45E-08,0.0007966,2
2.62E-07,0.001251,1.598
4.67E-08,0.001058,1.856
1.16E-08,0.00106,1.995
4.68E-08,0.001359,1.842
8.29E-08,0.001752,1.749
2.11E-07,0.002052,1.634
4.21E-08,0.0009653,1.847
7.88E-07,0.003035,1.442
2.72E-08,0.001025,1.922
3.45E-08,0.0007785,1.871
1.46E-08,0.001556,1.985
6.68E-08,0.001218,1.787
3.55E-08,0.001714,1.866
2.28E-07,0.002884,1.629
1.03E-07,0.001165,1.733
7.26E-08,0.001914,1.765
6.93E-08,0.001258,1.76
1.24E-08,0.0006675,2
1.40E-07,0.0008302,1.684
1.67E-08,0.001337,1.985
2.43E-08,0.001192,1.933
5.12E-08,0.0009815,1.818
2.07E-07,0.003908,1.638
7.43E-08,0.0009666,1.773
4.13E-08,0.001422,1.858
3.79E-08,0.001695,1.882
1.92E-07,0.001764,1.638
1.59E-08,0.001163,2
1.57E-08,0.00151,2
2.52E-08,0.001264,1.897
7.07E-08,0.001454,1.785
4.48E-07,0.001499,1.492
5.38E-08,0.0009956,1.815
1.62E-07,0.001369,1.667
4.34E-08,0.0006851,1.847
1.50E-07,0.000724,1.689
1.47E-08,0.0009703,2
8.19E-08,0.001018,1.788
1.23E-08,0.001005,2
9.05E-08,0.001594,1.741
1.39E-08,0.001584,2
7.11E-08,0.0009526,1.774
1.37E-08,0.0009543,2
3.21E-08,0.001424,1.887
1.29E-08,0.0008717,2
7.27E-08,0.0021,1.803
1.91E-08,0.001349,1.937
3.03E-08,0.001969,1.89
2.74E-08,0.0009223,1.916
8.88E-08,0.00129,1.763
7.18E-08,0.001647,1.806
3.87E-08,0.0009792,1.829
6.76E-08,0.001243,1.787
2.62E-08,0.001324,1.908
3.43E-08,0.00105,1.893
3.07E-08,0.0009108,1.914
3.46E-08,0.001294,1.883
1.45E-08,0.0007324,2
1.19E-07,0.001299,1.712
1.08E-07,0.0009108,1.728
7.98E-08,0.00172,1.767
3.06E-07,0.00181,1.571
3.27E-08,0.0008147,1.871
4.89E-08,0.0009629,1.836
2.54E-08,0.001917,1.941
1.56E-08,0.001209,1.988
1.88E-08,0.001679,1.942
4.83E-08,0.001016,1.84
9.15E-08,0.002157,1.769
1.46E-08,0.0007743,2
1.77E-08,0.0005905,1.972
6.92E-08,0.001204,1.814
1.98E-08,0.0007261,1.939
1.19E-07,0.00112,1.726
3.56E-08,0.002031,1.883
8.77E-08,0.002829,1.764
3.38E-07,0.0006948,1.579
1.57E-08,0.001116,1.995
1.52E-08,0.003046,2
1.66E-07,0.001136,1.635
2.46E-08,0.0008673,1.925
2.57E-08,0.001157,1.91
2.59E-08,0.00109,1.918
2.40E-08,0.00111,1.913
3.62E-07,0.001773,1.55
6.17E-08,0.0009755,1.808
1.80E-08,0.0005628,1.972
2.05E-08,0.00104,1.945
1.54E-07,0.001461,1.675
1.27E-08,0.001188,2
1.54E-08,0.001076,1.982
3.15E-08,0.001394,1.878
3.55E-08,0.0009174,1.874
5.35E-08,0.001171,1.805
6.88E-08,0.001035,1.775
5.50E-08,0.001013,1.819
2.21E-08,0.001239,1.948
7.09E-08,0.00275,1.773
2.03E-07,0.001072,1.61
6.35E-08,0.002881,1.811
4.45E-07,0.001713,1.542
1.33E-07,0.001551,1.712
1.08E-07,0.001378,1.713
5.28E-08,0.001847,1.818
2.27E-08,0.0008145,1.926
1.25E-08,0.0009705,2
1.13E-07,0.003096,1.714
2.34E-08,0.00124,1.942
2.47E-08,0.001126,1.927
3.72E-07,0.001972,1.526
4.74E-08,0.002099,1.873
1.50E-08,0.001045,2
2.23E-08,0.001884,1.925
5.90E-08,0.001844,1.825
7.00E-08,0.001965,1.765
2.04E-08,0.001797,1.947
1.85E-08,0.001002,1.963
2.65E-08,0.0007977,1.919
3.72E-08,0.0009124,1.861
1.50E-08,0.001562,2
1.56E-07,0.001724,1.667
2.66E-08,0.002042,1.93
1.24E-08,0.001,2
6.83E-08,0.001146,1.787
3.27E-08,0.000988,1.909
8.08E-08,0.001916,1.748
3.33E-08,0.001169,1.874
1.27E-08,0.001297,2
8.72E-08,0.00116,1.748
5.70E-08,0.001123,1.82
1.27E-07,0.002129,1.719
2.02E-08,0.001663,1.937
1.16E-08,0.001009,2
7.25E-08,0.001624,1.775
2.71E-08,0.000719,1.903
1.99E-08,0.001063,1.937
1.41E-07,0.0009599,1.693
9.68E-08,0.001605,1.758
2.26E-07,0.001433,1.637
4.10E-08,0.001165,1.86
1.14E-07,0.001817,1.731
5.18E-08,0.001843,1.81
2.65E-08,0.001257,1.914
1.35E-07,0.003285,1.706
1.06E-07,0.001779,1.733
3.57E-07,0.001868,1.548
2.48E-08,0.001223,1.899
1.12E-07,0.002549,1.755
2.72E-08,0.001079,1.91
5.09E-08,0.001352,1.817
4.68E-08,0.001018,1.815
4.36E-08,0.001502,1.817
1.34E-08,0.00153,2
9.83E-08,0.001578,1.74
3.21E-08,0.00102,1.88
1.51E-08,0.001374,2
3.64E-08,0.001537,1.882
3.47E-07,0.002655,1.572
9.30E-08,0.001332,1.743
5.66E-08,0.001111,1.842
1.55E-07,0.001628,1.669
6.90E-08,0.001209,1.779
8.57E-08,0.001706,1.741
1.46E-08,0.0007624,2
1.41E-08,0.0006116,2
6.90E-08,0.001386,1.792
2.78E-08,0.0005859,1.914
1.25E-07,0.001779,1.722
5.19E-08,0.001987,1.804
2.58E-07,0.001594,1.591
7.72E-08,0.002142,1.777
6.31E-08,0.001202,1.802
8.38E-08,0.003848,1.77
1.19E-08,0.0007415,2
1.51E-08,0.0008342,2
3.17E-07,0.002601,1.594
1.25E-08,0.001045,2
2.84E-08,0.0009983,1.877
1.28E-08,0.001347,1.998
2.73E-08,0.001767,1.927
3.70E-08,0.0009806,1.872
4.28E-07,0.002617,1.533
2.25E-08,0.001085,1.916
6.82E-08,0.001153,1.768
4.42E-08,0.001127,1.833
1.19E-08,0.0005585,2
2.23E-08,0.001094,1.937
2.23E-08,0.001779,1.925
1.72E-08,0.001066,2
2.01E-08,0.001136,1.947
2.70E-08,0.001088,1.904
2.73E-08,0.001411,1.928
6.91E-08,0.002841,1.815
4.06E-08,0.001511,1.874
2.14E-08,0.0009906,1.924
1.38E-08,0.001143,2
2.63E-07,0.002743,1.598
4.27E-08,0.001536,1.875
4.47E-08,0.001919,1.852
1.10E-07,0.00198,1.734
1.57E-08,0.001795,1.99
3.82E-08,0.00145,1.858
1.17E-07,0.002804,1.739
4.84E-07,0.002034,1.521
5.02E-08,0.001761,1.824
2.22E-08,0.001129,1.927
1.31E-08,0.0008642,2
2.88E-07,0.001275,1.591
1.51E-08,0.001282,2
2.80E-08,0.001382,1.908
6.65E-08,0.001645,1.783
1.13E-07,0.001703,1.753
4.57E-08,0.002035,1.859
8.58E-08,0.001758,1.786
2.28E-08,0.001257,1.92
2.22E-08,0.0007988,1.935
1.77E-07,0.001276,1.627
2.23E-08,0.001482,1.936
2.20E-07,0.001141,1.62
2.36E-08,0.001867,1.949
3.29E-08,0.001731,1.898
2.00E-08,0.0005741,1.942
4.54E-08,0.001714,1.847
5.54E-08,0.002101,1.825
2.81E-08,0.001976,1.906
5.67E-08,0.001775,1.816
5.60E-08,0.0008866,1.812
2.32E-08,0.001711,1.939
5.03E-08,0.001459,1.844
2.63E-08,0.001634,1.924
1.67E-08,0.001742,1.992
8.37E-08,0.001623,1.789
8.80E-08,0.001253,1.785
2.17E-08,0.001055,1.938
1.86E-07,0.002545,1.677
3.16E-08,0.001584,1.894
6.61E-08,0.001107,1.794
2.38E-08,0.0009424,1.927
3.20E-08,0.0005962,1.896
1.93E-08,0.001113,1.961
9.96E-08,0.002181,1.743
2.45E-08,0.0008553,1.929
7.26E-08,0.001958,1.78
1.12E-07,0.0008129,1.714
1.94E-07,0.002715,1.655
6.07E-08,0.001309,1.786
1.61E-08,0.001425,1.965
2.26E-08,0.0009038,1.916
3.67E-08,0.001058,1.863
1.54E-07,0.001391,1.696
1.82E-08,0.0009938,1.947
8.53E-08,0.001514,1.75
2.74E-07,0.001481,1.599
5.80E-08,0.001377,1.811
1.50E-07,0.002078,1.651
2.92E-08,0.001166,1.911
3.43E-08,0.001059,1.879
1.85E-08,0.001389,1.966
4.20E-08,0.002064,1.849
3.27E-08,0.001696,1.898
6.96E-08,0.0008865,1.773
1.01E-07,0.002141,1.708
6.08E-08,0.001396,1.835
1.58E-08,0.001009,1.975
2.72E-08,0.001073,1.908
5.47E-08,0.00147,1.817
6.87E-08,0.001768,1.778
8.67E-08,0.001454,1.768
7.82E-08,0.0007715,1.759
5.76E-08,0.001422,1.832
8.19E-08,0.001167,1.738
6.91E-08,0.001449,1.763
1.42E-08,0.001177,2
2.40E-08,0.001589,1.921
3.55E-08,0.0008488,1.882
6.21E-08,0.001321,1.802
2.46E-08,0.0008219,1.903
1.38E-07,0.00178,1.663
1.12E-07,0.000918,1.714
1.17E-07,0.002104,1.736
1.49E-08,0.0009541,2
2.07E-08,0.002165,1.942
2.25E-08,0.0009573,1.944
7.23E-08,0.001655,1.797
1.41E-08,0.001472,2
8.25E-08,0.001589,1.765
4.40E-08,0.001846,1.857
3.92E-08,0.001758,1.871
3.86E-08,0.001954,1.854
1.61E-08,0.001552,1.97
4.69E-08,0.001647,1.846
1.95E-07,0.003731,1.672
1.36E-08,0.001241,2
1.50E-08,0.00168,2
8.66E-08,0.001974,1.759
4.08E-08,0.002311,1.851
6.61E-08,0.001311,1.794
1.90E-08,0.001595,1.934
4.22E-08,0.001913,1.858
2.32E-08,0.001333,1.925
1.54E-08,0.001305,2
1.50E-08,0.001444,2
1.03E-07,0.001463,1.733
4.60E-08,0.001026,1.855
4.61E-08,0.001356,1.85
2.99E-08,0.0009612,1.888
7.88E-08,0.002713,1.76
3.29E-08,0.001066,1.892
1.68E-07,0.001474,1.645
3.81E-08,0.001055,1.846
3.67E-08,0.001163,1.873
1.32E-08,0.001443,2
6.06E-08,0.001053,1.789
2.34E-08,0.0007926,1.928
7.27E-08,0.002602,1.779
2.02E-07,0.002872,1.669
1.98E-07,0.001122,1.648
3.30E-08,0.000541,1.879
1.62E-08,0.0006185,1.981
7.87E-08,0.001715,1.778
3.17E-08,0.001263,1.895
6.02E-08,0.002402,1.806
5.25E-08,0.001195,1.823
8.02E-08,0.001739,1.769
4.54E-08,0.0007001,1.84
3.40E-07,0.00214,1.598
1.17E-08,0.0008233,2
9.14E-08,0.001401,1.738
4.41E-08,0.001537,1.843
8.39E-08,0.001206,1.747
1.76E-08,0.001578,1.957
4.37E-08,0.001408,1.842
5.24E-08,0.0009952,1.833
9.75E-08,0.0006828,1.724
1.87E-08,0.001602,1.97
5.72E-08,0.001902,1.81
8.35E-08,0.00169,1.765
3.67E-08,0.000891,1.876
1.30E-07,0.00113,1.706
8.15E-08,0.0008515,1.735
5.56E-08,0.001943,1.819
2.47E-08,0.001148,1.902
4.26E-08,0.001169,1.855
5.93E-08,0.001057,1.785
3.53E-08,0.001268,1.887
8.17E-08,0.001734,1.767
8.02E-08,0.001708,1.775
6.37E-08,0.0008441,1.816
5.95E-08,0.001387,1.822
7.16E-08,0.001141,1.776
1.47E-08,0.0009684,2
1.03E-07,0.001915,1.731
2.02E-08,0.001499,1.963
7.56E-08,0.002156,1.779
2.64E-08,0.001437,1.934
1.14E-07,0.002159,1.708
2.52E-07,0.001992,1.613
2.22E-08,0.0009004,1.954
2.01E-08,0.0009837,1.962
1.62E-08,0.0006832,1.956
2.23E-08,0.001052,1.919
8.71E-08,0.002335,1.748
1.66E-08,0.001067,2
4.65E-08,0.001504,1.851
1.28E-08,0.001282,1.995
2.02E-08,0.0005818,1.951
1.64E-07,0.002561,1.68
1.57E-08,0.0008533,1.994
2.13E-08,0.0008178,1.961
5.42E-08,0.00179,1.824
1.53E-08,0.001186,1.995
3.63E-07,0.004347,1.612
2.00E-07,0.001723,1.651
2.30E-07,0.001228,1.659
7.55E-08,0.001766,1.764
6.21E-08,0.001771,1.809
2.33E-08,0.001455,1.958
2.76E-07,0.001224,1.619
3.67E-07,0.001602,1.52
4.81E-08,0.001758,1.829
1.87E-08,0.001258,1.963
4.74E-08,0.001969,1.854
3.69E-08,0.001587,1.898
9.03E-08,0.001205,1.755
2.42E-08,0.0008381,1.911
7.22E-08,0.00215,1.796
9.58E-08,0.001931,1.744
3.84E-08,0.0008675,1.871
