ikoutC,ik12C,ik21C,ik13C,ik31C,iV2C
0.004617364,0.005061261,0.000933713,0.001184824,0.000186719,12.94143877
0.01584702,0.015895426,0.000933713,0.003721067,0.000186719,4.120682273
0.000283401,0.000317847,0.000933713,7.44E-05,0.000186719,206.0742674
0.001247157,0.001071735,0.000933713,0.00025089,0.000186719,61.11583732
0.002049198,0.002022875,0.000933713,0.000473548,0.000186719,32.37965889
0.000787075,0.000881274,0.000933713,0.000206303,0.000186719,74.32423467
0.001847715,0.001792697,0.000933713,0.000419665,0.000186719,36.53711813
0.008565986,0.008085618,0.000933713,0.001892816,0.000186719,8.100803493
0.020650534,0.019842668,0.000933713,0.004645103,0.000186719,3.300967384
0.002261529,0.002393273,0.000933713,0.000560257,0.000186719,27.36838092
0.003097997,0.002686705,0.000933713,0.000628949,0.000186719,24.37930485
0.006241554,0.006120789,0.000933713,0.001432856,0.000186719,10.70123477
0.00109502,0.001199606,0.000933713,0.000280824,0.000186719,54.60127332
0.00206573,0.002694625,0.000933713,0.000630803,0.000186719,24.30764893
0.000844547,0.00076413,0.000933713,0.00017888,0.000186719,85.71839973
0.000444185,0.000456839,0.000933713,0.000106944,0.000186719,143.3766756
0.003700033,0.003793475,0.000933713,0.00088804,0.000186719,17.26649061
0.005417788,0.005000124,0.000933713,0.001170512,0.000186719,13.09967597
0.001735476,0.001623345,0.000933713,0.00038002,0.000186719,40.34879773
0.000410882,0.000394025,0.000933713,9.22E-05,0.000186719,166.2332764
0.01396322,0.012921917,0.000933713,0.003024978,0.000186719,5.0689075
0.005105339,0.004795966,0.000933713,0.00112272,0.000186719,13.65731144
0.004130536,0.004192956,0.000933713,0.000981557,0.000186719,15.62143604
0.000987813,0.001257126,0.000933713,0.000294289,0.000186719,52.10297034
0.000143,0.000136745,0.000933713,3.20E-05,0.000186719,478.9951422
0.003083066,0.003174786,0.000933713,0.000743207,0.000186719,20.63131496
0.002926137,0.003046266,0.000933713,0.000713121,0.000186719,21.50173411
0.010377933,0.012477932,0.000933713,0.002921043,0.000186719,5.249267435
0.00557146,0.006008667,0.000933713,0.001406609,0.000186719,10.90092066
0.000832229,0.000813618,0.000933713,0.000190465,0.000186719,80.5045897
0.004912257,0.004332153,0.000933713,0.001014143,0.000186719,15.11950172
0.003144736,0.003254885,0.000933713,0.000761958,0.000186719,20.1236019
0.002863591,0.002808853,0.000933713,0.000657543,0.000186719,23.31912565
0.001978984,0.002037339,0.000933713,0.000476934,0.000186719,32.14977658
0.000267106,0.000317877,0.000933713,7.44E-05,0.000186719,206.0547765
0.000448305,0.000480151,0.000933713,0.000112402,0.000186719,136.4153353
0.000193575,0.000206857,0.000933713,4.84E-05,0.000186719,316.6442168
0.014316894,0.01474796,0.000933713,0.003452449,0.000186719,4.441292243
0.003494712,0.003170585,0.000933713,0.000742224,0.000186719,20.65864631
0.000638343,0.000600907,0.000933713,0.00014067,0.000186719,109.0018137
0.002552929,0.002660279,0.000933713,0.000622762,0.000186719,24.62147841
0.001271985,0.001338433,0.000933713,0.000313323,0.000186719,48.9378094
0.004106535,0.003893849,0.000933713,0.000911537,0.000186719,16.82140157
0.015563308,0.01498581,0.000933713,0.003508129,0.000186719,4.370801323
0.006536398,0.00721385,0.000933713,0.001688738,0.000186719,9.079756579
0.000211522,0.000233924,0.000933713,5.48E-05,0.000186719,280.0053467
0.002581919,0.002538979,0.000933713,0.000594367,0.000186719,25.79776823
0.00028054,0.000263933,0.000933713,6.18E-05,0.000186719,248.1687688
0.00070426,0.000729692,0.000933713,0.000170818,0.000186719,89.76394668
0.000941914,0.000875295,0.000933713,0.000204904,0.000186719,74.83193182
0.000323041,0.000316504,0.000933713,7.41E-05,0.000186719,206.9482269
0.010064436,0.011014572,0.000933713,0.002578475,0.000186719,5.946667495
0.00378403,0.003730674,0.000933713,0.000873338,0.000186719,17.55715153
0.002320956,0.002688173,0.000933713,0.000629292,0.000186719,24.36599121
0.006020498,0.005266453,0.000933713,0.001232859,0.000186719,12.43721342
0.003064543,0.002524703,0.000933713,0.000591025,0.000186719,25.94364249
0.017814727,0.018980642,0.000933713,0.004443305,0.000186719,3.450884373
0.007929444,0.009098679,0.000933713,0.002129971,0.000186719,7.198847528
0.001007472,0.000968702,0.000933713,0.00022677,0.000186719,67.6162511
0.001402283,0.001456539,0.000933713,0.000340971,0.000186719,44.96961863
0.000572623,0.000450479,0.000933713,0.000105456,0.000186719,145.4009213
0.00267745,0.002752007,0.000933713,0.000644236,0.000186719,23.80081415
0.003064731,0.002908303,0.000933713,0.000680824,0.000186719,22.52172688
0.002968116,0.003028377,0.000933713,0.000708933,0.000186719,21.6287443
0.004937114,0.005481449,0.000933713,0.001283189,0.000186719,11.94939592
0.001440784,0.00144437,0.000933713,0.000338122,0.000186719,45.34847895
0.005607225,0.006993256,0.000933713,0.001637098,0.000186719,9.366166202
0.001262138,0.001100133,0.000933713,0.000257537,0.000186719,59.53827318
0.002299596,0.002314312,0.000933713,0.000541773,0.000186719,28.30215239
0.001001942,0.000808245,0.000933713,0.000189207,0.000186719,81.03979099
0.000493295,0.000479232,0.000933713,0.000112187,0.000186719,136.6770038
0.002722689,0.00301186,0.000933713,0.000705067,0.000186719,21.74735726
0.00319378,0.003057111,0.000933713,0.00071566,0.000186719,21.42545511
0.001766019,0.002002147,0.000933713,0.000468696,0.000186719,32.71487571
0.003352726,0.003936412,0.000933713,0.000921501,0.000186719,16.6395193
0.000326763,0.000323913,0.000933713,7.58E-05,0.000186719,202.2148303
0.001899199,0.002040428,0.000933713,0.000477657,0.000186719,32.10110981
0.000711866,0.000728462,0.000933713,0.000170531,0.000186719,89.91548446
0.001233528,0.0012522,0.000933713,0.000293136,0.000186719,52.30793382
0.000364732,0.000398182,0.000933713,9.32E-05,0.000186719,164.4978287
0.002199538,0.00239578,0.000933713,0.000560844,0.000186719,27.33973342
0.03526367,0.036628565,0.000933713,0.008574626,0.000186719,1.788221848
0.001078807,0.000970416,0.000933713,0.000227171,0.000186719,67.49682112
0.004925663,0.005956746,0.000933713,0.001394455,0.000186719,10.99593641
0.001144927,0.00109795,0.000933713,0.000257026,0.000186719,59.65664511
0.005651023,0.005576329,0.000933713,0.0013054,0.000186719,11.74607844
0.002317453,0.002111037,0.000933713,0.000494187,0.000186719,31.02741122
0.003314245,0.003506852,0.000933713,0.000820942,0.000186719,18.67772097
0.00253869,0.002494983,0.000933713,0.000584067,0.000186719,26.25268726
0.003943852,0.003919899,0.000933713,0.000917635,0.000186719,16.70961556
0.005190773,0.005637721,0.000933713,0.001319772,0.000186719,11.61817023
0.001707518,0.001530956,0.000933713,0.000358392,0.000186719,42.78372659
